target_sigma,bar_beta_opt,bar_star_opt,welfare_pct_change,innov_welfare_pct_change,imit_welfare_pct_change,non_invest_welfare_pct_change
0.25,0.91,0.9100000000000003,3.056515272772772,-9.331186233389388,13.090894673596875,170.9998002806312
0.5,0.91,0.9100000000000003,3.056515786369501,-9.331185993560194,13.090894632106982,170.99979125183683
0.75,0.91,0.9100000000000003,3.056516239753372,-9.331185771888146,13.090894583039287,170.99978273204056
1.0,0.91,0.9100000000000003,3.0565165927312874,-9.331185574278887,13.090894514474417,170.99977501734972
1.25,0.91,0.9100000000000003,3.0565167650411778,-9.331185398329486,13.090894385246278,170.99976803969147
1.5,0.91,0.9100000000000003,3.0565163134289373,-9.331185291513115,13.09089403291245,170.99976393788006
1.75,0.91,0.9100000000000003,3.056513078705504,-9.331185153654884,13.090892241223619,170.99975831025435
2.0,0.91,0.9100000000000003,3.056393751476582,-9.331187236393802,13.090830770525365,170.99983652585186
2.25,0.91,0.9100000000000003,3.0560079859593494,-9.331188163364484,13.090649090459237,170.99986678878383
2.5,0.91,0.9100000000000003,3.0526314091043054,-9.331188932712305,13.089010615342563,170.999892015589
2.75,0.91,0.9100000000000003,3.050388643064607,-9.331189350806401,13.087800651737428,170.99990875361195
3.0,0.91,0.9100000000000003,3.0505647284185886,-9.331189324602086,13.0879757163234,170.9999073239475
3.25,0.91,0.9100000000000003,3.0278528686896937,-9.331189578296653,13.077120374159534,170.9999257626526
3.5,0.91,0.9100000000000003,3.0249047950666963,-9.331189244970464,13.075725902058695,170.9999043564086
3.75,0.91,0.9100000000000003,3.022263911160699,-9.331188653347446,13.074579317129112,170.999883437704
4.0,0.91,0.9100000000000003,3.0205006599127318,-9.33118861321,13.07383191734037,170.99988221169406
4.25,0.91,0.9100000000000003,3.0191391645537924,-9.331188585577246,13.073256019989364,170.99988142847624
4.5,0.91,0.9100000000000003,2.9070697891884616,-9.331187486565195,13.01945572339545,170.9998456729418
4.75,0.91,0.9100000000000003,2.9042838232426997,-9.331187468400522,13.018147513915514,170.99984508981953
5.0,0.91,0.9100000000000003,2.90339827700035,-9.331187462483191,13.017731571849447,170.999844897107
