Tau D,Tau F,Gov Pref,Reg Pref,Optimal Patent Breadth Cap,Expected Optimal Patent Breadth Granted,Welfare % Change,Innovator Welfare % Change,Imitator Welfare % Change,Non-Investor Welfare % Change
0.15,0.05,utilitarian,welfarist_balanced,1.0,1.0,0.0,0.0,0.0,0.0
0.15,0.05,elitist,welfarist_balanced,1.0,1.0,-0.0005304425381538552,0.0,-0.0026136352420656783,0.0
0.15,0.05,strongly_elitist,welfarist_balanced,1.0,1.0,-0.0010560707905184778,0.0,-0.005231962986972747,0.0
0.15,0.05,egalitarian,welfarist_balanced,0.98,0.98,0.3475920021520746,-1.9600139991191992,9.693078668493207,640.2191091803397
0.15,0.05,strongly_egalitarian,welfarist_balanced,0.32,0.31999999999999995,6.273650571156469,-68.06494683612159,218.42582509415922,21273.16057464796
0.2,0.05,utilitarian,welfarist_balanced,0.98,0.98,0.017396587251631814,-1.957936839084691,9.118747258219166,555.6515540713657
0.2,0.05,elitist,welfarist_balanced,1.0,1.0,-0.0004886955742219389,0.0,-0.002407120231175323,0.0
0.2,0.05,strongly_elitist,welfarist_balanced,1.0,1.0,-0.0009734256402200958,0.0,-0.0048189571745494405,0.0
0.2,0.05,egalitarian,welfarist_balanced,0.88,0.8800000000000003,0.7665069552690544,-12.093547395310363,47.0075552811149,3425.6945101288725
0.2,0.05,strongly_egalitarian,welfarist_balanced,0.02,0.019999999999999997,23.077444247427547,-98.39080355876702,285.93836619670617,27549.861954396816
0.25,0.05,utilitarian,welfarist_balanced,0.98,0.98,0.014642048478195639,-1.9967921374117716,8.657822098917292,540.0667194446077
0.25,0.05,elitist,welfarist_balanced,1.0,1.0,-0.0005794215131857906,0.0,-0.0028552074688722997,0.0
0.25,0.05,strongly_elitist,welfarist_balanced,1.0,1.0,-0.0011535108577827775,0.0,-0.005713279823834587,0.0
0.25,0.05,egalitarian,welfarist_balanced,0.81,0.81,2.006959688021616,-18.95053235972744,66.61701763539996,5147.320928885904
0.25,0.05,strongly_egalitarian,welfarist_balanced,0.04,0.039999999999999994,41.31152953224318,-96.29994832444196,270.830597171503,25902.777059626384
